NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Oryza sativa                        	     1	     -	     -	               -	               -	               -	        2.063697	            -
Crenynpffa                          	     2	     -	     -	               -	               -	               -	        1.063378	            -
Chlamydia trachomatis               	     3	     -	     -	               -	               -	               -	        1.000000	            -
Escherichia coli                    	     4	     -	     -	               -	               -	               -	        1.000000	            -
Elphidium                           	     5	     -	     -	               -	               -	               -	        3.097155	            -
Ar13                                	     6	     -	     -	               -	               -	               -	        1.374308	            -
Candidatus                          	     7	     -	     -	               -	               -	               -	        1.000000	            -
Verrucomicrobium                    	     8	     -	     -	               -	               -	               -	        1.000000	            -
Pyrococcus furiosus                 	     9	     -	     -	               -	               -	               -	        0.574188	            -
Parvarchaeum acidophilus            	    10	     -	     -	               -	               -	               -	        1.505266	            -
Chlorobium                          	    11	     -	     -	               -	               -	               -	        1.000000	            -
Cenarchaeum symbiosum               	    12	     -	     -	               -	               -	               -	        1.368373	            -
Saccharomyces cerevisiae            	    13	     -	     -	               -	               -	               -	        2.632988	            -
Methanomassiliicoccus luminyensis   	    14	     -	     -	               -	               -	               -	        0.802146	            -
Chthonomonas                        	    15	     -	     -	               -	               -	               -	        1.000000	            -
Ar15                                	    16	     -	     -	               -	               -	               -	        0.872491	            -
Leishmania major                    	    17	     -	     -	               -	               -	               -	        2.339710	            -
Kosmotoga                           	    18	     -	     -	               -	               -	               -	        1.000000	            -
Aquifex                             	    19	     -	     -	               -	               -	               -	        1.000000	            -
Lentisphaera                        	    20	     -	     -	               -	               -	               -	        1.000000	            -
Gemmatimonas                        	    21	     -	     -	               -	               -	               -	        1.000000	            -
Caldithrix                          	    22	     -	     -	               -	               -	               -	        1.000000	            -
Jonquetella                         	    23	     -	     -	               -	               -	               -	        1.000000	            -
Volvox                              	    24	     -	     -	               -	               -	               -	        1.492972	            -
Nanoarchaeum                        	    25	     -	     -	               -	               -	               -	        1.066113	            -
Haloarcula marismortui              	    26	     -	     -	               -	               -	               -	        1.328827	            -
Cylindrosperopsis                   	    27	     -	     -	               -	               -	               -	        1.000000	            -
Hydra                               	    28	     -	     -	               -	               -	               -	        1.850495	            -
Caldiarchaeum subterraneum          	    29	     -	     -	               -	               -	               -	        1.044123	            -
Chondrus                            	    30	     -	     -	               -	               -	               -	        1.844142	            -
Dictyoglomus                        	    31	     -	     -	               -	               -	               -	        1.000000	            -
Caldivirga maquilingensis           	    32	     -	     -	               -	               -	               -	        1.344119	            -
Treponema pallidum                  	    33	     -	     -	               -	               -	               -	        1.000000	            -
Rhodopirellula baltica              	    34	     -	     -	               -	               -	               -	        1.000000	            -
Lokiarchaeum                        	    35	     -	     -	               -	               -	               -	        1.303392	            -
Bodo                                	    36	     -	     -	               -	               -	               -	        3.202034	            -
Chlorogloeopsis                     	    37	     -	     -	               -	               -	               -	        1.000000	            -
