NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Oryza sativa                        	     1	     -	     -	               -	               -	               -	        2.380064	            -
Crenynpffa                          	     2	     -	     -	               -	               -	               -	        1.079542	            -
Chlamydia trachomatis               	     3	     -	     -	               -	               -	               -	        1.000000	            -
Escherichia coli                    	     4	     -	     -	               -	               -	               -	        1.000000	            -
Elphidium                           	     5	     -	     -	               -	               -	               -	        2.989170	            -
Ar13                                	     6	     -	     -	               -	               -	               -	        1.361240	            -
Candidatus                          	     7	     -	     -	               -	               -	               -	        1.000000	            -
Verrucomicrobium                    	     8	     -	     -	               -	               -	               -	        1.000000	            -
Pyrococcus furiosus                 	     9	     -	     -	               -	               -	               -	        0.661573	            -
Parvarchaeum acidophilus            	    10	     -	     -	               -	               -	               -	        1.342188	            -
Chlorobium                          	    11	     -	     -	               -	               -	               -	        1.000000	            -
Cenarchaeum symbiosum               	    12	     -	     -	               -	               -	               -	        1.374089	            -
Saccharomyces cerevisiae            	    13	     -	     -	               -	               -	               -	        2.703002	            -
Methanomassiliicoccus luminyensis   	    14	     -	     -	               -	               -	               -	        0.895055	            -
Chthonomonas                        	    15	     -	     -	               -	               -	               -	        1.000000	            -
Ar15                                	    16	     -	     -	               -	               -	               -	        0.961414	            -
Leishmania major                    	    17	     -	     -	               -	               -	               -	        2.394939	            -
Kosmotoga                           	    18	     -	     -	               -	               -	               -	        1.000000	            -
Aquifex                             	    19	     -	     -	               -	               -	               -	        1.000000	            -
Lentisphaera                        	    20	     -	     -	               -	               -	               -	        1.000000	            -
Gemmatimonas                        	    21	     -	     -	               -	               -	               -	        1.000000	            -
Caldithrix                          	    22	     -	     -	               -	               -	               -	        1.000000	            -
Jonquetella                         	    23	     -	     -	               -	               -	               -	        1.000000	            -
Volvox                              	    24	     -	     -	               -	               -	               -	        1.823692	            -
Nanoarchaeum                        	    25	     -	     -	               -	               -	               -	        0.949702	            -
Haloarcula marismortui              	    26	     -	     -	               -	               -	               -	        1.453238	            -
Cylindrosperopsis                   	    27	     -	     -	               -	               -	               -	        1.000000	            -
Hydra                               	    28	     -	     -	               -	               -	               -	        2.088911	            -
Caldiarchaeum subterraneum          	    29	     -	     -	               -	               -	               -	        1.099238	            -
Chondrus                            	    30	     -	     -	               -	               -	               -	        2.157482	            -
Dictyoglomus                        	    31	     -	     -	               -	               -	               -	        1.000000	            -
Caldivirga maquilingensis           	    32	     -	     -	               -	               -	               -	        1.571266	            -
Treponema pallidum                  	    33	     -	     -	               -	               -	               -	        1.000000	            -
Rhodopirellula baltica              	    34	     -	     -	               -	               -	               -	        1.000000	            -
Lokiarchaeum                        	    35	     -	     -	               -	               -	               -	        1.280506	            -
Bodo                                	    36	     -	     -	               -	               -	               -	        3.173562	            -
Chlorogloeopsis                     	    37	     -	     -	               -	               -	               -	        1.000000	            -
Pyrobaculum aerophilum              	    38	     -	     -	               -	               -	               -	        1.406764	            -
Aeropyrum pernix                    	    39	     -	     -	               -	               -	               -	        1.716306	            -
Amphimedon                          	    40	     -	     -	               -	               -	               -	        1.808706	            -
Acidobacterium                      	    41	     -	     -	               -	               -	               -	        1.000000	            -
Ar6                                 	    42	     -	     -	               -	               -	               -	        1.078324	            -
Chlamydomonas                       	    43	     -	     -	               -	               -	               -	        3.907790	            -
Oscillochloris                      	    44	     -	     -	               -	               -	               -	        1.000000	            -
Loki2                               	    45	     -	     -	               -	               -	               -	        1.407761	            -
Phytophthora ramorum                	    46	     -	     -	               -	               -	               -	        1.648577	            -
Giardia lamblia                     	    47	     -	     -	               -	               -	               -	        3.185197	            -
Thalassiosira pseudonana            	    48	     -	     -	               -	               -	               -	        2.316087	            -
Ignicoccus hospitalis               	    49	     -	     -	               -	               -	               -	        1.360854	            -
Polysphondylium                     	    50	     -	     -	               -	               -	               -	        2.488457	            -
Microgenomates                      	    51	     -	     -	               -	               -	               -	        1.000000	            -
Methanococcus jannaschii            	    52	     -	     -	               -	               -	               -	        0.755874	            -
Limulus                             	    53	     -	     -	               -	               -	               -	        2.907984	            -
Thermofilum pendens                 	    54	     -	     -	               -	               -	               -	        1.119277	            -
Clostridium acetobutylicum          	    55	     -	     -	               -	               -	               -	        1.000000	            -
The09                               	    56	     -	     -	               -	               -	               -	        1.331940	            -
Trichomonas vaginalis               	    57	     -	     -	               -	               -	               -	        2.833407	            -
Loki3                               	    58	     -	     -	               -	               -	               -	        1.106224	            -
Nanosalina                          	    59	     -	     -	               -	               -	               -	        1.020633	            -
Elusimicrobium                      	    60	     -	     -	               -	               -	               -	        1.000000	            -
Rickettsia                          	    61	     -	     -	               -	               -	               -	        1.000000	            -
Micrarchaeum acidiphilum            	    62	     -	     -	               -	               -	               -	        1.047843	            -
DUSEL4                              	    63	     -	     -	               -	               -	               -	        0.956464	            -
Nitrosoarchaeum limnia              	    64	     -	     -	               -	               -	               -	        1.655159	            -
Homo sapiens                        	    65	     -	     -	               -	               -	               -	        1.771111	            -
Staphylothermus marinus             	    66	     -	     -	               -	               -	               -	        1.107210	            -
Cyanophora                          	    67	     -	     -	               -	               -	               -	        1.708670	            -
DUSEL3                              	    68	     -	     -	               -	               -	               -	        0.854651	            -
Latescibacteria                     	    69	     -	     -	               -	               -	               -	        1.000000	            -
Arabidopsis thaliana                	    70	     -	     -	               -	               -	               -	        2.736098	            -
Cyanidioschyzon                     	    71	     -	     -	               -	               -	               -	        2.856541	            -
Tetrahymena                         	    72	     -	     -	               -	               -	               -	        2.902789	            -
Archaeoglobus fulgidus              	    73	     -	     -	               -	               -	               -	        0.701786	            -
Agaricus                            	    74	     -	     -	               -	               -	               -	        2.159066	            -
Thermodesulfatator                  	    75	     -	     -	               -	               -	               -	        1.000000	            -
Korarchaeum cryptofilum             	    76	     -	     -	               -	               -	               -	        1.003922	            -
Caldisericum                        	    77	     -	     -	               -	               -	               -	        1.000000	            -
Methanothermobacter thermautotro    	    78	     -	     -	               -	               -	               -	        0.755812	            -
Thermoplasma volcanium              	    79	     -	     -	               -	               -	               -	        1.133895	            -
Reticulomyxa                        	    80	     -	     -	               -	               -	               -	        3.585933	            -
Methanosarcina mazei                	    81	     -	     -	               -	               -	               -	        0.938034	            -
Actinomadura                        	    82	     -	     -	               -	               -	               -	        1.000000	            -
Desulfurispirillum                  	    83	     -	     -	               -	               -	               -	        1.000000	            -
Galdieria                           	    84	     -	     -	               -	               -	               -	        2.339660	            -
Paramecium                          	    85	     -	     -	               -	               -	               -	        2.945385	            -
Rhodopseudomonas palustris          	    86	     -	     -	               -	               -	               -	        1.000000	            -
Gloeobacter                         	    87	     -	     -	               -	               -	               -	        1.000000	            -
Synechocystis sp. PCC6803           	    88	     -	     -	               -	               -	               -	        1.000000	            -
Physcomitrella                      	    89	     -	     -	               -	               -	               -	        1.524431	            -
Hyperthermus butylicus              	    90	     -	     -	               -	               -	               -	        1.382151	            -
Parcubacteria                       	    91	     -	     -	               -	               -	               -	        1.000000	            -
Nanosalinarum                       	    92	     -	     -	               -	               -	               -	        1.241765	            -
Sulfolobus solfataricus             	    93	     -	     -	               -	               -	               -	        1.154622	            -
Thermodesulfovibrio                 	    94	     -	     -	               -	               -	               -	        1.000000	            -
Nitrosopumilus maritimus            	    95	     -	     -	               -	               -	               -	        1.442177	            -
Ar5                                 	    96	     -	     -	               -	               -	               -	        0.944825	            -
Dictyostelium discoideum            	    97	     -	     -	               -	               -	               -	        1.594622	            -
Ectocarpus                          	    98	     -	     -	               -	               -	               -	        2.614760	            -
Campylobacter jejuni                	    99	     -	     -	               -	               -	               -	        1.000000	            -
Batrachochytrium                    	   100	     -	     -	               -	               -	               -	        1.825237	            -
Methanopyrus kandleri               	   101	     -	     -	               -	               -	               -	        0.812898	            -
Fibrobacter                         	   102	     -	     -	               -	               -	               -	        1.000000	            -
-                                   	   103	    31	    77	        0.000000	               -	               -	        1.000000	        75.49%
-                                   	   104	    18	   103	        0.000000	               -	               -	        1.000000	        80.08%
-                                   	   105	    27	    37	        0.000000	               -	               -	        1.000000	        59.44%
-                                   	   106	    88	   105	        0.000000	               -	               -	        1.000000	        82.76%
-                                   	   107	    87	   106	        0.000000	               -	               -	        1.000000	        77.30%
-                                   	   108	    33	    55	        0.000000	               -	               -	        1.000000	        88.46%
-                                   	   109	    91	    51	        0.000000	               -	               -	        1.000000	        55.92%
-                                   	   110	    44	   109	        0.000000	               -	               -	        1.000000	        63.95%
-                                   	   111	    15	   110	        0.000000	               -	               -	        1.000000	        73.61%
-                                   	   112	   111	    82	        0.000000	               -	               -	        1.000000	        81.26%
-                                   	   113	   112	   108	        0.000000	               -	               -	        1.000000	        88.18%
-                                   	   114	    61	    86	        0.000000	               -	               -	        1.000000	        85.48%
-                                   	   115	     4	   114	        0.000000	               -	               -	        1.000000	        93.18%
-                                   	   116	    99	   115	        0.000000	               -	               -	        1.000000	        89.85%
-                                   	   117	    83	   116	        0.000000	               -	               -	        1.000000	        86.04%
-                                   	   118	    75	    94	        0.000000	               -	               -	        1.000000	        82.62%
-                                   	   119	   118	    41	        0.000000	               -	               -	        1.000000	        83.15%
-                                   	   120	   119	    19	        0.000000	               -	               -	        1.000000	        77.41%
-                                   	   121	   120	   117	        0.000000	               -	               -	        1.000000	        90.96%
-                                   	   122	     8	    20	        0.000000	               -	               -	        1.000000	        75.10%
-                                   	   123	     3	   122	        0.000000	               -	               -	        1.000000	        85.83%
-                                   	   124	    34	   123	        0.000000	               -	               -	        1.000000	        93.45%
-                                   	   125	    69	    21	        0.000000	               -	               -	        1.000000	        72.99%
-                                   	   126	    22	    11	        0.000000	               -	               -	        1.000000	        74.33%
-                                   	   127	   126	   125	        0.000000	               -	               -	        1.000000	        88.50%
-                                   	   128	   127	   102	        0.000000	               -	               -	        1.000000	        84.69%
-                                   	   129	   128	   124	        0.000000	               -	               -	        1.000000	        91.39%
-                                   	   130	   129	   121	        0.000000	               -	               -	        1.000000	        94.60%
-                                   	   131	   130	    60	        0.000000	               -	               -	        1.000000	        73.25%
-                                   	   132	   131	   113	        0.000000	               -	               -	        1.000000	        94.87%
-                                   	   133	   132	   107	        0.000000	               -	               -	        1.000000	        90.48%
