NodeLabel                     	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
acanthurus bahianus           	     1	     -	     -	               -	               -	               -	        0.991628	            -
acanthurus bariene            	     2	     -	     -	               -	               -	               -	        0.900220	            -
acanthurus olivaceus          	     3	     -	     -	               -	               -	               -	        0.888881	            -
acanthurus pyroferus          	     4	     -	     -	               -	               -	               -	        0.976609	            -
alectis indicus               	     5	     -	     -	               -	               -	               -	        1.091736	            -
alepes kleinii                	     6	     -	     -	               -	               -	               -	        1.646338	            -
anoplogaster cornuta          	     7	     -	     -	               -	               -	               -	        0.912319	            -
antennarius striatus          	     8	     -	     -	               -	               -	               -	        3.021379	            -
antigonia capros              	     9	     -	     -	               -	               -	               -	        0.691785	            -
aphredoderus sayanus          	    10	     -	     -	               -	               -	               -	        1.000000	            -
apogon lateralis              	    11	     -	     -	               -	               -	               -	        0.499893	            -
apogon maculatus              	    12	     -	     -	               -	               -	               -	        0.827973	            -
assurger anzac                	    13	     -	     -	               -	               -	               -	        0.808888	            -
aulostomus sp                 	    14	     -	     -	               -	               -	               -	        1.538796	            -
balistes capriscus            	    15	     -	     -	               -	               -	               -	        2.770962	            -
bathygobius soporator         	    16	     -	     -	               -	               -	               -	       13.390513	            -
batrachoides pacifici         	    17	     -	     -	               -	               -	               -	        2.590562	            -
bothus pantherinus            	    18	     -	     -	               -	               -	               -	       10.905507	            -
brama japonica                	    19	     -	     -	               -	               -	               -	        0.664505	            -
canthigaster figueiredoi      	    20	     -	     -	               -	               -	               -	        4.293755	            -
canthigaster margaritata      	    21	     -	     -	               -	               -	               -	       10.178032	            -
canthigaster rostrata         	    22	     -	     -	               -	               -	               -	       14.023996	            -
caranx melampygus             	    23	     -	     -	               -	               -	               -	        0.665244	            -
carapus bermudensis           	    24	     -	     -	               -	               -	               -	        6.584001	            -
centropomus medius            	    25	     -	     -	               -	               -	               -	        0.628523	            -
cephalopholis argus           	    26	     -	     -	               -	               -	               -	        0.456055	            -
chaetodon kleinii             	    27	     -	     -	               -	               -	               -	        0.420099	            -
chaetodon ocellatus           	    28	     -	     -	               -	               -	               -	        0.779535	            -
cheimarrichthys fosteri       	    29	     -	     -	               -	               -	               -	        0.543691	            -
chiasmodon niger              	    30	     -	     -	               -	               -	               -	        0.889633	            -
chloroscombrus orqueta        	    31	     -	     -	               -	               -	               -	        0.790321	            -
