NodeLabel                     	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
acanthurus bahianus           	     1	     -	     -	               -	               -	               -	        1.182619	            -
acanthurus bariene            	     2	     -	     -	               -	               -	               -	        1.065459	            -
acanthurus olivaceus          	     3	     -	     -	               -	               -	               -	        1.055398	            -
acanthurus pyroferus          	     4	     -	     -	               -	               -	               -	        1.115158	            -
alectis indicus               	     5	     -	     -	               -	               -	               -	        1.248798	            -
alepes kleinii                	     6	     -	     -	               -	               -	               -	        1.893617	            -
anoplogaster cornuta          	     7	     -	     -	               -	               -	               -	        0.867377	            -
antennarius striatus          	     8	     -	     -	               -	               -	               -	        3.278423	            -
antigonia capros              	     9	     -	     -	               -	               -	               -	        0.801439	            -
aphredoderus sayanus          	    10	     -	     -	               -	               -	               -	        1.000000	            -
apogon lateralis              	    11	     -	     -	               -	               -	               -	        0.595895	            -
apogon maculatus              	    12	     -	     -	               -	               -	               -	        0.941507	            -
assurger anzac                	    13	     -	     -	               -	               -	               -	        0.930675	            -
aulostomus sp                 	    14	     -	     -	               -	               -	               -	        1.629127	            -
balistes capriscus            	    15	     -	     -	               -	               -	               -	        3.109650	            -
bathygobius soporator         	    16	     -	     -	               -	               -	               -	       14.442420	            -
batrachoides pacifici         	    17	     -	     -	               -	               -	               -	        2.462989	            -
bothus pantherinus            	    18	     -	     -	               -	               -	               -	       11.364107	            -
brama japonica                	    19	     -	     -	               -	               -	               -	        0.764879	            -
canthigaster figueiredoi      	    20	     -	     -	               -	               -	               -	        4.849807	            -
canthigaster margaritata      	    21	     -	     -	               -	               -	               -	       11.702823	            -
canthigaster rostrata         	    22	     -	     -	               -	               -	               -	       16.617792	            -
caranx melampygus             	    23	     -	     -	               -	               -	               -	        0.783506	            -
carapus bermudensis           	    24	     -	     -	               -	               -	               -	        6.133345	            -
centropomus medius            	    25	     -	     -	               -	               -	               -	        0.721070	            -
cephalopholis argus           	    26	     -	     -	               -	               -	               -	        0.495384	            -
chaetodon kleinii             	    27	     -	     -	               -	               -	               -	        0.513465	            -
chaetodon ocellatus           	    28	     -	     -	               -	               -	               -	        0.895059	            -
cheimarrichthys fosteri       	    29	     -	     -	               -	               -	               -	        0.628733	            -
chiasmodon niger              	    30	     -	     -	               -	               -	               -	        1.023880	            -
chloroscombrus orqueta        	    31	     -	     -	               -	               -	               -	        0.927150	            -
chromis enchrysura            	    32	     -	     -	               -	               -	               -	        0.692339	            -
citharoides macrolepis        	    33	     -	     -	               -	               -	               -	        1.487016	            -
coryphaena hippurus           	    34	     -	     -	               -	               -	               -	        2.180311	            -
coryphaenoides rupestris      	    35	     -	     -	               -	               -	               -	        1.000000	            -
cryptopsaras couesii          	    36	     -	     -	               -	               -	               -	        9.361329	            -
cubiceps baxteri              	    37	     -	     -	               -	               -	               -	        0.501765	            -
dactyloptena orientalis       	    38	     -	     -	               -	               -	               -	        2.478324	            -
emblemariopsis sp             	    39	     -	     -	               -	               -	               -	        5.971716	            -
epibulus insidiator           	    40	     -	     -	               -	               -	               -	        1.998451	            -
erotelis smaragdus            	    41	     -	     -	               -	               -	               -	       11.598298	            -
evorthodus minutus            	    42	     -	     -	               -	               -	               -	       37.154620	            -
gadus morhua                  	    43	     -	     -	               -	               -	               -	        1.000000	            -
gillichthys seta              	    44	     -	     -	               -	               -	               -	       13.239642	            -
gramma loreto                 	    45	     -	     -	               -	               -	               -	        0.321421	            -
haemulon album                	    46	     -	     -	               -	               -	               -	        0.308809	            -
haemulon flavilineatum        	    47	     -	     -	               -	               -	               -	        2.207728	            -
haemulon parra                	    48	     -	     -	               -	               -	               -	        1.107329	            -
halichoeres poeyi             	    49	     -	     -	               -	               -	               -	        2.720660	            -
halichoeres radiatus          	    50	     -	     -	               -	               -	               -	        1.729189	            -
hippoglossina oblonga         	    51	     -	     -	               -	               -	               -	        1.614626	            -
hypoplectrus puela            	    52	     -	     -	               -	               -	               -	        0.617599	            -
istiophorus platypterus       	    53	     -	     -	               -	               -	               -	        1.777814	            -
kali normani                  	    54	     -	     -	               -	               -	               -	        1.768390	            -
kurtus gulliveri              	    55	     -	     -	               -	               -	               -	        1.235737	            -
labrisomus nuchipinnis        	    56	     -	     -	               -	               -	               -	        2.307002	            -
lampris guttatus              	    57	     -	     -	               -	               -	               -	        1.000000	            -
lepophidium profundorum       	    58	     -	     -	               -	               -	               -	        1.472086	            -
lutjanus goreensis            	    59	     -	     -	               -	               -	               -	        0.450718	            -
mene maculatus                	    60	     -	     -	               -	               -	               -	        1.354504	            -
micropogonias undulatus       	    61	     -	     -	               -	               -	               -	        0.687274	            -
micropterus salmoides         	    62	     -	     -	               -	               -	               -	        1.052197	            -
mogurnda adspersa             	    63	     -	     -	               -	               -	               -	        8.840208	            -
myripristis leiognathus       	    64	     -	     -	               -	               -	               -	        0.895288	            -
myripristis violacea          	    65	     -	     -	               -	               -	               -	        0.607800	            -
naso unicornis                	    66	     -	     -	               -	               -	               -	        1.172424	            -
odontobutis obscura           	    67	     -	     -	               -	               -	               -	        2.744772	            -
ogcocephalus radiatus         	    68	     -	     -	               -	               -	               -	        5.034569	            -
ophiocara porocephala         	    69	     -	     -	               -	               -	               -	        4.195185	            -
ostorhinchus nigrofasciatus   	    70	     -	     -	               -	               -	               -	        0.454247	            -
parachirus xenicus            	    71	     -	     -	               -	               -	               -	        4.611300	            -
pareques acuminatus           	    72	     -	     -	               -	               -	               -	        0.841597	            -
parupeneus multifasciatus     	    73	     -	     -	               -	               -	               -	        2.053062	            -
pempheris schomburgkii        	    74	     -	     -	               -	               -	               -	        0.925389	            -
percopsis omiscomycus         	    75	     -	     -	               -	               -	               -	        1.000000	            -
periophthalmus barbarus       	    76	     -	     -	               -	               -	               -	       18.617787	            -
phaeoptyx pigmentaria         	    77	     -	     -	               -	               -	               -	        2.112336	            -
pholidichthys leucotaenia     	    78	     -	     -	               -	               -	               -	        3.347306	            -
plesiops sp                   	    79	     -	     -	               -	               -	               -	        0.690544	            -
poecilopsetta plinthus        	    80	     -	     -	               -	               -	               -	        2.353068	            -
polydactylus sexfilis         	    81	     -	     -	               -	               -	               -	        1.045229	            -
polymixia lowei               	    82	     -	     -	               -	               -	               -	        1.000000	            -
pomacanthus paru              	    83	     -	     -	               -	               -	               -	        0.638635	            -
pomatomus saltatrix           	    84	     -	     -	               -	               -	               -	        0.199539	            -
psenes cyanophrys             	    85	     -	     -	               -	               -	               -	        0.590484	            -
psenopsis anomala             	    86	     -	     -	               -	               -	               -	        0.433148	            -
pseudanthias squamipinnis     	    87	     -	     -	               -	               -	               -	        0.972317	            -
pseudochromis flavivertex     	    88	     -	     -	               -	               -	               -	        0.642114	            -
pseudochromis sankeyi         	    89	     -	     -	               -	               -	               -	        1.435807	            -
pseudupeneus maculatus        	    90	     -	     -	               -	               -	               -	        2.072727	            -
ptereleotris evides           	    91	     -	     -	               -	               -	               -	       18.123558	            -
pterophyllum leopoldi         	    92	     -	     -	               -	               -	               -	        1.663333	            -
rachycentron canadum          	    93	     -	     -	               -	               -	               -	        0.589469	            -
regalecus glesne              	    94	     -	     -	               -	               -	               -	        1.000000	            -
rondeletia loricata           	    95	     -	     -	               -	               -	               -	        0.580562	            -
ruvettus pretiosus            	    96	     -	     -	               -	               -	               -	        0.254979	            -
