NodeLabel                      	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Sus scrofa                     	     1	     -	     -	               -	               -	               -	        0.695248	            -
Cavia porcellus                	     2	     -	     -	               -	               -	               -	        1.687507	            -
Hippopotamus amphibius         	     3	     -	     -	               -	               -	               -	        0.763759	            -
Ornithorhynchus anatinus       	     4	     -	     -	               -	               -	               -	        1.000000	            -
Loxodonta africana             	     5	     -	     -	               -	               -	               -	        1.732571	            -
Balaenoptera physalus          	     6	     -	     -	               -	               -	               -	        1.393338	            -
Phoca vitulina                 	     7	     -	     -	               -	               -	               -	        1.460718	            -
Balaenoptera musculus          	     8	     -	     -	               -	               -	               -	        1.030148	            -
Halichoerus grypus             	     9	     -	     -	               -	               -	               -	        1.271337	            -
Didelphis virginiana           	    10	     -	     -	               -	               -	               -	        1.201250	            -
Equus caballus                 	    11	     -	     -	               -	               -	               -	        0.489506	            -
Pan troglodytes                	    12	     -	     -	               -	               -	               -	        1.813915	            -
Pan paniscus                   	    13	     -	     -	               -	               -	               -	        1.424110	            -
Gorilla gorilla                	    14	     -	     -	               -	               -	               -	        1.507029	            -
Pongo pygmaeus                 	    15	     -	     -	               -	               -	               -	        1.934926	            -
Rattus norvegicus              	    16	     -	     -	               -	               -	               -	        1.813000	            -
Felis catus                    	    17	     -	     -	               -	               -	               -	        0.623076	            -
Rhinoceros unicornis           	    18	     -	     -	               -	               -	               -	        0.678444	            -
Equus asinus                   	    19	     -	     -	               -	               -	               -	        0.557343	            -
Macropus robustus              	    20	     -	     -	               -	               -	               -	        0.843948	            -
Ceratotherium simum            	    21	     -	     -	               -	               -	               -	        0.642696	            -
Dasypus novemcinctus           	    22	     -	     -	               -	               -	               -	        0.912042	            -
Glis glis                      	    23	     -	     -	               -	               -	               -	        1.570056	            -
Oryctolagus cuniculus          	    24	     -	     -	               -	               -	               -	        0.784292	            -
Ovis aries                     	    25	     -	     -	               -	               -	               -	        0.894576	            -
Papio hamadryas                	    26	     -	     -	               -	               -	               -	        2.318099	            -
Canis lupus                    	    27	     -	     -	               -	               -	               -	        0.890412	            -
Artibeus jamaicensis           	    28	     -	     -	               -	               -	               -	        1.305118	            -
Orycteropus afer               	    29	     -	     -	               -	               -	               -	        0.901883	            -
Erinaceus europaeus            	    30	     -	     -	               -	               -	               -	        3.225173	            -
Hylobates lar                  	    31	     -	     -	               -	               -	               -	        1.640532	            -
Pongo abelii                   	    32	     -	     -	               -	               -	               -	        1.841196	            -
Sciurus vulgaris               	    33	     -	     -	               -	               -	               -	        1.083337	            -
Talpa europaea                 	    34	     -	     -	               -	               -	               -	        0.613884	            -
Physeter catodon               	    35	     -	     -	               -	               -	               -	        1.470723	            -
Vicugna pacos                  	    36	     -	     -	               -	               -	               -	        3.570833	            -
Tupaia belangeri               	    37	     -	     -	               -	               -	               -	        1.036039	            -
Pteropus dasymallus            	    38	     -	     -	               -	               -	               -	        0.991206	            -
Pteropus scapulatus            	    39	     -	     -	               -	               -	               -	        0.918616	            -
Chalinolobus tuberculatus      	    40	     -	     -	               -	               -	               -	        1.564261	            -
Echinops telfairi              	    41	     -	     -	               -	               -	               -	        1.925265	            -
Thryonomys swinderianus        	    42	     -	     -	               -	               -	               -	        1.942878	            -
Isoodon macrourus              	    43	     -	     -	               -	               -	               -	        0.903677	            -
Cebus albifrons                	    44	     -	     -	               -	               -	               -	        2.414594	            -
Macaca sylvanus                	    45	     -	     -	               -	               -	               -	        2.586961	            -
Nycticebus coucang             	    46	     -	     -	               -	               -	               -	        1.346705	            -
Echinosorex gymnura            	    47	     -	     -	               -	               -	               -	        2.164082	            -
Tarsius bancanus               	    48	     -	     -	               -	               -	               -	        0.896903	            -
Ochotona collaris              	    49	     -	     -	               -	               -	               -	        1.367919	            -
Trichosurus vulpecula          	    50	     -	     -	               -	               -	               -	        0.602339	            -
Episoriculus fumidus           	    51	     -	     -	               -	               -	               -	        0.993157	            -
Microtus kikuchii              	    52	     -	     -	               -	               -	               -	        2.686015	            -
Dugong dugon                   	    53	     -	     -	               -	               -	               -	        0.793516	            -
Tachyglossus aculeatus         	    54	     -	     -	               -	               -	               -	        1.000000	            -
Vombatus ursinus               	    55	     -	     -	               -	               -	               -	        0.610845	            -
Ursus americanus               	    56	     -	     -	               -	               -	               -	        1.100172	            -
Ursus arctos                   	    57	     -	     -	               -	               -	               -	        1.550628	            -
Ursus maritimus                	    58	     -	     -	               -	               -	               -	        0.943295	            -
Arctocephalus forsteri         	    59	     -	     -	               -	               -	               -	        1.371908	            -
Lemur catta                    	    60	     -	     -	               -	               -	               -	        0.995038	            -
Macroscelides proboscideus     	    61	     -	     -	               -	               -	               -	        1.538776	            -
Manis tetradactyla             	    62	     -	     -	               -	               -	               -	        1.752153	            -
Lepus europaeus                	    63	     -	     -	               -	               -	               -	        0.903919	            -
Odobenus rosmarus              	    64	     -	     -	               -	               -	               -	        1.539170	            -
Eumetopias jubatus             	    65	     -	     -	               -	               -	               -	        1.486094	            -
Galeopterus variegatus         	    66	     -	     -	               -	               -	               -	        1.349448	            -
Tamandua tetradactyla          	    67	     -	     -	               -	               -	               -	        1.012947	            -
Muntiacus reevesi              	    68	     -	     -	               -	               -	               -	        1.050980	            -
Muntiacus muntjak              	    69	     -	     -	               -	               -	               -	        1.035413	            -
Muntiacus crinifrons           	    70	     -	     -	               -	               -	               -	        1.120855	            -
Procavia capensis              	    71	     -	     -	               -	               -	               -	        0.995518	            -
Chrysochloris asiatica         	    72	     -	     -	               -	               -	               -	        0.965089	            -
Elephantulus sp                	    73	     -	     -	               -	               -	               -	        1.318814	            -
Hemiechinus auritus            	    74	     -	     -	               -	               -	               -	        2.517145	            -
Urotrichus talpoides           	    75	     -	     -	               -	               -	               -	        0.809359	            -
Mogera wogura                  	    76	     -	     -	               -	               -	               -	        0.843535	            -
Capra hircus                   	    77	     -	     -	               -	               -	               -	        1.232976	            -
Mus musculus                   	    78	     -	     -	               -	               -	               -	        1.817565	            -
Elephas maximus                	    79	     -	     -	               -	               -	               -	        1.886955	            -
Acinonyx jubatus               	    80	     -	     -	               -	               -	               -	        0.877705	            -
Balaena mysticetus             	    81	     -	     -	               -	               -	               -	        0.900897	            -
Caperea marginata              	    82	     -	     -	               -	               -	               -	        1.569213	            -
Eschrichtius robustus          	    83	     -	     -	               -	               -	               -	        1.348238	            -
Balaenoptera acutorostrata     	    84	     -	     -	               -	               -	               -	        1.699696	            -
Kogia breviceps                	    85	     -	     -	               -	               -	               -	        1.467431	            -
Hyperoodon ampullatus          	    86	     -	     -	               -	               -	               -	        1.186829	            -
Berardius bairdii              	    87	     -	     -	               -	               -	               -	        1.396460	            -
Platanista minor               	    88	     -	     -	               -	               -	               -	        1.635831	            -
Inia geoffrensis               	    89	     -	     -	               -	               -	               -	        2.339746	            -
Pontoporia blainvillei         	    90	     -	     -	               -	               -	               -	        2.768678	            -
Lagenorhynchus albirostris     	    91	     -	     -	               -	               -	               -	        2.565549	            -
Monodon monoceros              	    92	     -	     -	               -	               -	               -	        1.941432	            -
Phocoena phocoena              	    93	     -	     -	               -	               -	               -	        1.987160	            -
Jaculus jaculus                	    94	     -	     -	               -	               -	               -	        1.692016	            -
Nannospalax ehrenbergi         	    95	     -	     -	               -	               -	               -	        1.829520	            -
Ochotona princeps              	    96	     -	     -	               -	               -	               -	        1.126920	            -
Rhinolophus monoceros          	    97	     -	     -	               -	               -	               -	        0.727789	            -
Rhinolophus pumilus            	    98	     -	     -	               -	               -	               -	        0.587548	            -
Sorex unguiculatus             	    99	     -	     -	               -	               -	               -	        0.669406	            -
Pipistrellus abramus           	   100	     -	     -	               -	               -	               -	        1.970016	            -
Thylamys elegans               	   101	     -	     -	               -	               -	               -	        1.112780	            -
Dromiciops gliroides           	   102	     -	     -	               -	               -	               -	        0.714826	            -
Caenolestes fuliginosus        	   103	     -	     -	               -	               -	               -	        0.784242	            -
Rhyncholestes raphanurus       	   104	     -	     -	               -	               -	               -	        0.812903	            -
Macaca mulatta                 	   105	     -	     -	               -	               -	               -	        2.459716	            -
Bos indicus                    	   106	     -	     -	               -	               -	               -	        1.109250	            -
Bubalus bubalis                	   107	     -	     -	               -	               -	               -	        0.749073	            -
Monodelphis domestica          	   108	     -	     -	               -	               -	               -	        0.857625	            -
Zaglossus bruijni              	   109	     -	     -	               -	               -	               -	        1.000000	            -
Bos grunniens                  	   110	     -	     -	               -	               -	               -	        0.981392	            -
Metachirus nudicaudatus        	   111	     -	     -	               -	               -	               -	        1.102722	            -
Sminthopsis douglasi           	   112	     -	     -	               -	               -	               -	        0.967053	            -
Tarsipes rostratus             	   113	     -	     -	               -	               -	               -	        1.166589	            -
Pseudocheirus peregrinus       	   114	     -	     -	               -	               -	               -	        0.743694	            -
Macrotis lagotis               	   115	     -	     -	               -	               -	               -	        1.022936	            -
Perameles gunnii               	   116	     -	     -	               -	               -	               -	        1.144055	            -
Notoryctes typhlops            	   117	     -	     -	               -	               -	               -	        1.045172	            -
Phascogale tapoatafa           	   118	     -	     -	               -	               -	               -	        1.025637	            -
Potorous tridactylus           	   119	     -	     -	               -	               -	               -	        0.702493	            -
Herpestes javanicus            	   120	     -	     -	               -	               -	               -	        0.850411	            -
Bos taurus                     	   121	     -	     -	               -	               -	               -	        1.347782	            -
Crocidura russula              	   122	     -	     -	               -	               -	               -	        1.483468	            -
Trachypithecus obscurus        	   123	     -	     -	               -	               -	               -	        2.118708	            -
Colobus guereza                	   124	     -	     -	               -	               -	               -	        2.141364	            -
Bradypus tridactylus           	   125	     -	     -	               -	               -	               -	        1.346988	            -
Choloepus didactylus           	   126	     -	     -	               -	               -	               -	        0.814644	            -
Mystacina tuberculata          	   127	     -	     -	               -	               -	               -	        0.917542	            -
Balaenoptera bonaerensis       	   128	     -	     -	               -	               -	               -	        0.799081	            -
Megaptera novaeangliae         	   129	     -	     -	               -	               -	               -	        1.182337	            -
Balaenoptera brydei            	   130	     -	     -	               -	               -	               -	        1.989593	            -
Balaenoptera borealis          	   131	     -	     -	               -	               -	               -	        0.981623	            -
Eubalaena australis            	   132	     -	     -	               -	               -	               -	        0.523497	            -
Eubalaena japonica             	   133	     -	     -	               -	               -	               -	        1.342333	            -
Cervus nippon                  	   134	     -	     -	               -	               -	               -	        1.057203	            -
Chlorocebus aethiops           	   135	     -	     -	               -	               -	               -	        1.957974	            -
Rousettus aegyptiacus          	   136	     -	     -	               -	               -	               -	        0.924261	            -
Pantholops hodgsonii           	   137	     -	     -	               -	               -	               -	        0.738603	            -
Lipotes vexillifer             	   138	     -	     -	               -	               -	               -	        2.552917	            -
Dasyurus hallucatus            	   139	     -	     -	               -	               -	               -	        1.395985	            -
Sminthopsis crassicaudata      	   140	     -	     -	               -	               -	               -	        0.897821	            -
Echymipera rufescens           	   141	     -	     -	               -	               -	               -	        0.863855	            -
Rangifer tarandus              	   142	     -	     -	               -	               -	               -	        1.089154	            -
Cervus elaphus                 	   143	     -	     -	               -	               -	               -	        1.313707	            -
Cricetulus griseus             	   144	     -	     -	               -	               -	               -	        3.155454	            -
Balaenoptera omurai            	   145	     -	     -	               -	               -	               -	        1.788414	            -
Balaenoptera edeni             	   146	     -	     -	               -	               -	               -	        1.130728	            -
Microtus levis                 	   147	     -	     -	               -	               -	               -	        2.260880	            -
Chlorocebus sabaeus            	   148	     -	     -	               -	               -	               -	        2.379952	            -
Canis latrans                  	   149	     -	     -	               -	               -	               -	        0.666155	            -
Phascolarctos cinereus         	   150	     -	     -	               -	               -	               -	        1.554710	            -
Dactylopsila trivirgata        	   151	     -	     -	               -	               -	               -	        0.830666	            -
Petaurus breviceps             	   152	     -	     -	               -	               -	               -	        1.009131	            -
Lagorchestes hirsutus          	   153	     -	     -	               -	               -	               -	        0.840112	            -
Phalanger vestitus             	   154	     -	     -	               -	               -	               -	        0.907868	            -
Distoechurus pennatus          	   155	     -	     -	               -	               -	               -	        0.978813	            -
Galemys pyrenaicus             	   156	     -	     -	               -	               -	               -	        1.493990	            -
Semnopithecus entellus         	   157	     -	     -	               -	               -	               -	        2.429219	            -
Nasalis larvatus               	   158	     -	     -	               -	               -	               -	        2.014109	            -
Presbytis melalophos           	   159	     -	     -	               -	               -	               -	        2.729093	            -
Rhinopithecus roxellana        	   160	     -	     -	               -	               -	               -	        2.120791	            -
Piliocolobus badius            	   161	     -	     -	               -	               -	               -	        1.907024	            -
Pygathrix nemaeus              	   162	     -	     -	               -	               -	               -	        2.468661	            -
Rusa unicolor                  	   163	     -	     -	               -	               -	               -	        1.217553	            -
Callorhinus ursinus            	   164	     -	     -	               -	               -	               -	        1.027404	            -
Zalophus californianus         	   165	     -	     -	               -	               -	               -	        1.048633	            -
Arctocephalus pusillus         	   166	     -	     -	               -	               -	               -	        1.360122	            -
Phocarctos hookeri             	   167	     -	     -	               -	               -	               -	        1.810078	            -
Neophoca cinerea               	   168	     -	     -	               -	               -	               -	        1.922694	            -
Arctocephalus townsendi        	   169	     -	     -	               -	               -	               -	        1.558458	            -
Monachus schauinslandi         	   170	     -	     -	               -	               -	               -	        0.965146	            -
Mirounga leonina               	   171	     -	     -	               -	               -	               -	        1.129353	            -
Lobodon carcinophaga           	   172	     -	     -	               -	               -	               -	        0.760458	            -
Leptonychotes weddellii        	   173	     -	     -	               -	               -	               -	        0.597596	            -
Hydrurga leptonyx              	   174	     -	     -	               -	               -	               -	        1.038230	            -
Erignathus barbatus            	   175	     -	     -	               -	               -	               -	        0.748487	            -
Cystophora cristata            	   176	     -	     -	               -	               -	               -	        0.696531	            -
Phoca fasciata                 	   177	     -	     -	               -	               -	               -	        0.849392	            -
Phoca groenlandica             	   178	     -	     -	               -	               -	               -	        1.182063	            -
Phoca largha                   	   179	     -	     -	               -	               -	               -	        1.287732	            -
Pusa caspica                   	   180	     -	     -	               -	               -	               -	        0.893214	            -
Pusa sibirica                  	   181	     -	     -	               -	               -	               -	        0.668780	            -
Pusa hispida                   	   182	     -	     -	               -	               -	               -	        0.551543	            -
Vulpes vulpes                  	   183	     -	     -	               -	               -	               -	        0.860067	            -
Lagostrophus fasciatus         	   184	     -	     -	               -	               -	               -	        0.729204	            -
Neofelis nebulosa              	   185	     -	     -	               -	               -	               -	        0.919113	            -
Elaphodus cephalophus          	   186	     -	     -	               -	               -	               -	        1.289927	            -
Ursus thibetanus               	   187	     -	     -	               -	               -	               -	        1.110756	            -
Phacochoerus africanus         	   188	     -	     -	               -	               -	               -	        0.847306	            -
Anomalurus sp                  	   189	     -	     -	               -	               -	               -	        1.959896	            -
Procyon lotor                  	   190	     -	     -	               -	               -	               -	        1.267803	            -
Ailuropoda melanoleuca         	   191	     -	     -	               -	               -	               -	        1.067637	            -
Ammotragus lervia              	   192	     -	     -	               -	               -	               -	        1.215039	            -
Camelus bactrianus             	   193	     -	     -	               -	               -	               -	        0.832472	            -
Martes melampus                	   194	     -	     -	               -	               -	               -	        0.897094	            -
Gulo gulo                      	   195	     -	     -	               -	               -	               -	        1.055637	            -
Ailurus fulgens                	   196	     -	     -	               -	               -	               -	        1.060180	            -
Enhydra lutris                 	   197	     -	     -	               -	               -	               -	        1.272716	            -
Chlorocebus pygerythrus        	   198	     -	     -	               -	               -	               -	        1.936773	            -
Chlorocebus tantalus           	   199	     -	     -	               -	               -	               -	        1.961477	            -
Camelus dromedarius            	   200	     -	     -	               -	               -	               -	        1.161820	            -
Helarctos malayanus            	   201	     -	     -	               -	               -	               -	        1.155821	            -
Tremarctos ornatus             	   202	     -	     -	               -	               -	               -	        1.014994	            -
Melursus ursinus               	   203	     -	     -	               -	               -	               -	        0.867737	            -
Hylomys suillus                	   204	     -	     -	               -	               -	               -	        2.321003	            -
Daubentonia madagascariensis   	   205	     -	     -	               -	               -	               -	        1.226949	            -
Eulemur mongoz                 	   206	     -	     -	               -	               -	               -	        1.640080	            -
Dendrohyrax dorsalis           	   207	     -	     -	               -	               -	               -	        1.438256	            -
Trichechus manatus             	   208	     -	     -	               -	               -	               -	        0.793987	            -
Eremitalpa granti              	   209	     -	     -	               -	               -	               -	        1.314419	            -
Spilogale putorius             	   210	     -	     -	               -	               -	               -	        1.576780	            -
Uncia uncia                    	   211	     -	     -	               -	               -	               -	        1.135493	            -
Capricornis swinhoei           	   212	     -	     -	               -	               -	               -	        1.083917	            -
Panthera pardus                	   213	     -	     -	               -	               -	               -	        0.653871	            -
Panthera tigris                	   214	     -	     -	               -	               -	               -	        0.895172	            -
Mus terricolor                 	   215	     -	     -	               -	               -	               -	        1.903694	            -
Ochotona curzoniae             	   216	     -	     -	               -	               -	               -	        0.822153	            -
Propithecus coquereli          	   217	     -	     -	               -	               -	               -	        0.887469	            -
Meles meles                    	   218	     -	     -	               -	               -	               -	        1.148502	            -
Rhinolophus formosae           	   219	     -	     -	               -	               -	               -	        1.160636	            -
Lutra lutra                    	   220	     -	     -	               -	               -	               -	        1.101905	            -
Macaca thibetana               	   221	     -	     -	               -	               -	               -	        2.799259	            -
Martes zibellina               	   222	     -	     -	               -	               -	               -	        1.138730	            -
Rattus tanezumi                	   223	     -	     -	               -	               -	               -	        1.965279	            -
Hydropotes inermis             	   224	     -	     -	               -	               -	               -	        1.260484	            -
Lama guanicoe                  	   225	     -	     -	               -	               -	               -	        0.529666	            -
Thylacinus cynocephalus        	   226	     -	     -	               -	               -	               -	        1.564560	            -
Myrmecobius fasciatus          	   227	     -	     -	               -	               -	               -	        0.900557	            -
Stenella attenuata             	   228	     -	     -	               -	               -	               -	        2.008684	            -
Stenella coeruleoalba          	   229	     -	     -	               -	               -	               -	        2.257262	            -
Sousa chinensis                	   230	     -	     -	               -	               -	               -	        2.828299	            -
Tursiops aduncus               	   231	     -	     -	               -	               -	               -	        2.733067	            -
Tursiops truncatus             	   232	     -	     -	               -	               -	               -	        2.372867	            -
Delphinus capensis             	   233	     -	     -	               -	               -	               -	        2.527369	            -
Grampus griseus                	   234	     -	     -	               -	               -	               -	        0.999690	            -
Capricornis crispus            	   235	     -	     -	               -	               -	               -	        1.275327	            -
Antilope cervicapra            	   236	     -	     -	               -	               -	               -	        0.808087	            -
Giraffa camelopardalis         	   237	     -	     -	               -	               -	               -	        0.779297	            -
Lama glama                     	   238	     -	     -	               -	               -	               -	        0.304060	            -
Pecari tajacu                  	   239	     -	     -	               -	               -	               -	        0.888120	            -
Martes flavigula               	   240	     -	     -	               -	               -	               -	        1.005490	            -
Bison bison                    	   241	     -	     -	               -	               -	               -	        0.920674	            -
Rattus rattus                  	   242	     -	     -	               -	               -	               -	        2.173699	            -
Rattus exulans                 	   243	     -	     -	               -	               -	               -	        2.011773	            -
Rattus praetor                 	   244	     -	     -	               -	               -	               -	        1.295425	            -
Macaca fascicularis            	   245	     -	     -	               -	               -	               -	        3.556791	            -
Diceros bicornis               	   246	     -	     -	               -	               -	               -	        0.781742	            -
Rhinoceros sondaicus           	   247	     -	     -	               -	               -	               -	        0.869100	            -
Dicerorhinus sumatrensis       	   248	     -	     -	               -	               -	               -	        0.640278	            -
Moschus berezovskii            	   249	     -	     -	               -	               -	               -	        0.663971	            -
Galago senegalensis            	   250	     -	     -	               -	               -	               -	        1.313188	            -
Otolemur crassicaudatus        	   251	     -	     -	               -	               -	               -	        1.157120	            -
Loris tardigradus              	   252	     -	     -	               -	               -	               -	        1.266335	            -
Perodicticus potto             	   253	     -	     -	               -	               -	               -	        1.338056	            -
Eulemur fulvus                 	   254	     -	     -	               -	               -	               -	        1.287472	            -
Eulemur macaco                 	   255	     -	     -	               -	               -	               -	        1.199480	            -
Varecia variegata              	   256	     -	     -	               -	               -	               -	        1.401916	            -
Tarsius syrichta               	   257	     -	     -	               -	               -	               -	        1.195243	            -
Saimiri sciureus               	   258	     -	     -	               -	               -	               -	        2.222925	            -
Homo sapiens                   	   259	     -	     -	               -	               -	               -	        1.639401	            -
Tscherskia triton              	   260	     -	     -	               -	               -	               -	        2.763849	            -
Budorcas taxicolor             	   261	     -	     -	               -	               -	               -	        1.505270	            -
Mesocricetus auratus           	   262	     -	     -	               -	               -	               -	        2.465081	            -
Cuon alpinus                   	   263	     -	     -	               -	               -	               -	        1.073298	            -
Vicugna vicugna                	   264	     -	     -	               -	               -	               -	        0.799796	            -
Proedromys sp                  	   265	     -	     -	               -	               -	               -	        1.955955	            -
Eothenomys chinensis           	   266	     -	     -	               -	               -	               -	        1.168800	            -
Nyctereutes procyonoides       	   267	     -	     -	               -	               -	               -	        1.080280	            -
Naemorhedus caudatus           	   268	     -	     -	               -	               -	               -	        1.096982	            -
Moschus moschiferus            	   269	     -	     -	               -	               -	               -	        0.679952	            -
Hylobates agilis               	   270	     -	     -	               -	               -	               -	        2.381042	            -
Bison bonasus                  	   271	     -	     -	               -	               -	               -	        0.995762	            -
Hylobates pileatus             	   272	     -	     -	               -	               -	               -	        1.218526	            -
Symphalangus syndactylus       	   273	     -	     -	               -	               -	               -	        1.434111	            -
Nomascus siki                  	   274	     -	     -	               -	               -	               -	        1.492602	            -
-                              	   275	   109	    54	        0.000000	               -	               -	        1.000000	        96.64%
