NodeLabel                      	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Sus scrofa                     	     1	     -	     -	               -	               -	               -	        0.827028	            -
Cavia porcellus                	     2	     -	     -	               -	               -	               -	        1.574112	            -
Hippopotamus amphibius         	     3	     -	     -	               -	               -	               -	        0.905898	            -
Ornithorhynchus anatinus       	     4	     -	     -	               -	               -	               -	        1.000000	            -
Loxodonta africana             	     5	     -	     -	               -	               -	               -	        1.747364	            -
Balaenoptera physalus          	     6	     -	     -	               -	               -	               -	        1.812202	            -
Phoca vitulina                 	     7	     -	     -	               -	               -	               -	        2.099947	            -
Balaenoptera musculus          	     8	     -	     -	               -	               -	               -	        1.325599	            -
Halichoerus grypus             	     9	     -	     -	               -	               -	               -	        1.847975	            -
Didelphis virginiana           	    10	     -	     -	               -	               -	               -	        1.147288	            -
Equus caballus                 	    11	     -	     -	               -	               -	               -	        0.628759	            -
Pan troglodytes                	    12	     -	     -	               -	               -	               -	        2.380438	            -
Pan paniscus                   	    13	     -	     -	               -	               -	               -	        1.861220	            -
Gorilla gorilla                	    14	     -	     -	               -	               -	               -	        1.866931	            -
Pongo pygmaeus                 	    15	     -	     -	               -	               -	               -	        2.323750	            -
Rattus norvegicus              	    16	     -	     -	               -	               -	               -	        2.329412	            -
Felis catus                    	    17	     -	     -	               -	               -	               -	        0.820038	            -
Rhinoceros unicornis           	    18	     -	     -	               -	               -	               -	        0.804941	            -
Equus asinus                   	    19	     -	     -	               -	               -	               -	        0.622225	            -
Macropus robustus              	    20	     -	     -	               -	               -	               -	        1.116593	            -
Ceratotherium simum            	    21	     -	     -	               -	               -	               -	        0.823516	            -
Dasypus novemcinctus           	    22	     -	     -	               -	               -	               -	        0.876321	            -
Glis glis                      	    23	     -	     -	               -	               -	               -	        1.481894	            -
Oryctolagus cuniculus          	    24	     -	     -	               -	               -	               -	        0.827276	            -
Ovis aries                     	    25	     -	     -	               -	               -	               -	        1.404578	            -
Papio hamadryas                	    26	     -	     -	               -	               -	               -	        2.613763	            -
Canis lupus                    	    27	     -	     -	               -	               -	               -	        1.098147	            -
Artibeus jamaicensis           	    28	     -	     -	               -	               -	               -	        1.412367	            -
Orycteropus afer               	    29	     -	     -	               -	               -	               -	        0.942063	            -
Erinaceus europaeus            	    30	     -	     -	               -	               -	               -	        2.194896	            -
Hylobates lar                  	    31	     -	     -	               -	               -	               -	        2.191017	            -
Pongo abelii                   	    32	     -	     -	               -	               -	               -	        2.240179	            -
Sciurus vulgaris               	    33	     -	     -	               -	               -	               -	        1.108859	            -
Talpa europaea                 	    34	     -	     -	               -	               -	               -	        0.750854	            -
Physeter catodon               	    35	     -	     -	               -	               -	               -	        1.705668	            -
Vicugna pacos                  	    36	     -	     -	               -	               -	               -	        4.189812	            -
Tupaia belangeri               	    37	     -	     -	               -	               -	               -	        0.985160	            -
Pteropus dasymallus            	    38	     -	     -	               -	               -	               -	        1.161828	            -
Pteropus scapulatus            	    39	     -	     -	               -	               -	               -	        1.055662	            -
