NodeLabel            	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Abrocoma             	     1	     -	     -	               -	               -	               -	        2.673761	            -
Acrobates            	     2	     -	     -	               -	               -	               -	        1.000000	            -
Aepyprymnus          	     3	     -	     -	               -	               -	               -	        1.000000	            -
Ailuropoda           	     4	     -	     -	               -	               -	               -	        0.713911	            -
Ailurus              	     5	     -	     -	               -	               -	               -	        0.930503	            -
Amblysomus           	     6	     -	     -	               -	               -	               -	        1.209862	            -
Anomalurus           	     7	     -	     -	               -	               -	               -	        0.915005	            -
Antilocapra          	     8	     -	     -	               -	               -	               -	        1.475933	            -
Aplodontia           	     9	     -	     -	               -	               -	               -	        1.078973	            -
Arctocephalus        	    10	     -	     -	               -	               -	               -	        0.667934	            -
Artibeus             	    11	     -	     -	               -	               -	               -	        1.240834	            -
Ateles               	    12	     -	     -	               -	               -	               -	        0.897315	            -
Bos                  	    13	     -	     -	               -	               -	               -	        1.309885	            -
Bradypus             	    14	     -	     -	               -	               -	               -	        1.076550	            -
Caenolestes          	    15	     -	     -	               -	               -	               -	        1.000000	            -
Callithrix           	    16	     -	     -	               -	               -	               -	        1.202992	            -
Calomyscidae         	    17	     -	     -	               -	               -	               -	        1.629021	            -
Caluromys            	    18	     -	     -	               -	               -	               -	        1.000000	            -
Canis                	    19	     -	     -	               -	               -	               -	        1.064506	            -
Caperea              	    20	     -	     -	               -	               -	               -	        1.020718	            -
Capromys             	    21	     -	     -	               -	               -	               -	        2.934072	            -
Castor               	    22	     -	     -	               -	               -	               -	        1.031521	            -
Cavia                	    23	     -	     -	               -	               -	               -	        4.375619	            -
Cebus                	    24	     -	     -	               -	               -	               -	        0.955156	            -
Ceratotherium        	    25	     -	     -	               -	               -	               -	        0.604878	            -
Cercartetus          	    26	     -	     -	               -	               -	               -	        1.000000	            -
Cervus               	    27	     -	     -	               -	               -	               -	        1.138012	            -
Chinchilla           	    28	     -	     -	               -	               -	               -	        1.577861	            -
Choloepus            	    29	     -	     -	               -	               -	               -	        0.679218	            -
Chrysochloris        	    30	     -	     -	               -	               -	               -	        1.036172	            -
Craseonycteris       	    31	     -	     -	               -	               -	               -	        1.230910	            -
Cricetus             	    32	     -	     -	               -	               -	               -	        2.630288	            -
Crocuta              	    33	     -	     -	               -	               -	               -	        0.980883	            -
