NodeLabel            	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Abrocoma             	     1	     -	     -	               -	               -	               -	        2.903369	            -
Acrobates            	     2	     -	     -	               -	               -	               -	        1.000000	            -
Aepyprymnus          	     3	     -	     -	               -	               -	               -	        1.000000	            -
Ailuropoda           	     4	     -	     -	               -	               -	               -	        0.758626	            -
Ailurus              	     5	     -	     -	               -	               -	               -	        1.057647	            -
Amblysomus           	     6	     -	     -	               -	               -	               -	        1.233921	            -
Anomalurus           	     7	     -	     -	               -	               -	               -	        0.935560	            -
Antilocapra          	     8	     -	     -	               -	               -	               -	        1.590068	            -
Aplodontia           	     9	     -	     -	               -	               -	               -	        1.116668	            -
Arctocephalus        	    10	     -	     -	               -	               -	               -	        0.725032	            -
Artibeus             	    11	     -	     -	               -	               -	               -	        1.293095	            -
Ateles               	    12	     -	     -	               -	               -	               -	        0.914581	            -
Bos                  	    13	     -	     -	               -	               -	               -	        1.406473	            -
Bradypus             	    14	     -	     -	               -	               -	               -	        1.100598	            -
Caenolestes          	    15	     -	     -	               -	               -	               -	        1.000000	            -
Callithrix           	    16	     -	     -	               -	               -	               -	        1.240182	            -
Calomyscidae         	    17	     -	     -	               -	               -	               -	        1.371331	            -
Caluromys            	    18	     -	     -	               -	               -	               -	        1.000000	            -
Canis                	    19	     -	     -	               -	               -	               -	        1.093306	            -
Caperea              	    20	     -	     -	               -	               -	               -	        1.091774	            -
Capromys             	    21	     -	     -	               -	               -	               -	        3.002226	            -
Castor               	    22	     -	     -	               -	               -	               -	        1.040459	            -
Cavia                	    23	     -	     -	               -	               -	               -	        4.619964	            -
Cebus                	    24	     -	     -	               -	               -	               -	        0.982119	            -
Ceratotherium        	    25	     -	     -	               -	               -	               -	        0.640838	            -
Cercartetus          	    26	     -	     -	               -	               -	               -	        1.000000	            -
Cervus               	    27	     -	     -	               -	               -	               -	        1.214277	            -
Chinchilla           	    28	     -	     -	               -	               -	               -	        1.818602	            -
Choloepus            	    29	     -	     -	               -	               -	               -	        0.664166	            -
Chrysochloris        	    30	     -	     -	               -	               -	               -	        0.987239	            -
Craseonycteris       	    31	     -	     -	               -	               -	               -	        1.250374	            -
Cricetus             	    32	     -	     -	               -	               -	               -	        3.006121	            -
Crocuta              	    33	     -	     -	               -	               -	               -	        1.008551	            -
Ctenodactylus        	    34	     -	     -	               -	               -	               -	        1.903644	            -
Ctenomys             	    35	     -	     -	               -	               -	               -	        3.348018	            -
Agouti               	    36	     -	     -	               -	               -	               -	        2.217332	            -
Cyclopes             	    37	     -	     -	               -	               -	               -	        0.974611	            -
Cynocephalus         	    38	     -	     -	               -	               -	               -	        0.790183	            -
Dasyprocta           	    39	     -	     -	               -	               -	               -	        2.639505	            -
Dasypus              	    40	     -	     -	               -	               -	               -	        0.898385	            -
Dasyurus             	    41	     -	     -	               -	               -	               -	        1.000000	            -
Daubentonia          	    42	     -	     -	               -	               -	               -	        0.551185	            -
Delphinapterus       	    43	     -	     -	               -	               -	               -	        1.111564	            -
Didelphis            	    44	     -	     -	               -	               -	               -	        1.000000	            -
Dinomys              	    45	     -	     -	               -	               -	               -	        2.631987	            -
Dipodomys            	    46	     -	     -	               -	               -	               -	        1.692984	            -
Dromiciops           	    47	     -	     -	               -	               -	               -	        1.000000	            -
Dugong               	    48	     -	     -	               -	               -	               -	        0.730463	            -
Echinops             	    49	     -	     -	               -	               -	               -	        1.799583	            -
Echymipera           	    50	     -	     -	               -	               -	               -	        1.000000	            -
Elephantulus         	    51	     -	     -	               -	               -	               -	        1.813462	            -
Elephas              	    52	     -	     -	               -	               -	               -	        0.645879	            -
Emballonuridae       	    53	     -	     -	               -	               -	               -	        1.238120	            -
Equus                	    54	     -	     -	               -	               -	               -	        0.727246	            -
Erethizon            	    55	     -	     -	               -	               -	               -	        1.277292	            -
Erinaceus            	    56	     -	     -	               -	               -	               -	        1.585800	            -
Eschrichtius         	    57	     -	     -	               -	               -	               -	        0.581919	            -
Eubalaena            	    58	     -	     -	               -	               -	               -	        0.415633	            -
Felis                	    59	     -	     -	               -	               -	               -	        0.836784	            -
Fossa                	    60	     -	     -	               -	               -	               -	        0.823771	            -
Furipterus           	    61	     -	     -	               -	               -	               -	        1.136175	            -
Galeopterus          	    62	     -	     -	               -	               -	               -	        0.769972	            -
Genetta              	    63	     -	     -	               -	               -	               -	        0.847771	            -
Geomyidae            	    64	     -	     -	               -	               -	               -	        2.024651	            -
Gliridae             	    65	     -	     -	               -	               -	               -	        1.075738	            -
Glironia             	    66	     -	     -	               -	               -	               -	        1.000000	            -
Heterocephalus       	    67	     -	     -	               -	               -	               -	        1.750194	            -
Heterohyrax          	    68	     -	     -	               -	               -	               -	        1.418609	            -
Hippopotamidae       	    69	     -	     -	               -	               -	               -	        0.866832	            -
Hipposideros         	    70	     -	     -	               -	               -	               -	        0.805246	            -
Homo                 	    71	     -	     -	               -	               -	               -	        0.800634	            -
Hoplomys             	    72	     -	     -	               -	               -	               -	        3.576480	            -
Hydrochaeris         	    73	     -	     -	               -	               -	               -	        3.244973	            -
Hypsiprymnodon       	    74	     -	     -	               -	               -	               -	        1.000000	            -
Hystrix              	    75	     -	     -	               -	               -	               -	        1.371313	            -
Inia                 	    76	     -	     -	               -	               -	               -	        1.057913	            -
Isoodon              	    77	     -	     -	               -	               -	               -	        1.000000	            -
Jaculus              	    78	     -	     -	               -	               -	               -	        2.241018	            -
Kogia                	    79	     -	     -	               -	               -	               -	        1.589709	            -
Lama                 	    80	     -	     -	               -	               -	               -	        0.886113	            -
Laonastes            	    81	     -	     -	               -	               -	               -	        1.538400	            -
Lemur                	    82	     -	     -	               -	               -	               -	        0.816607	            -
Loxodonta            	    83	     -	     -	               -	               -	               -	        0.880844	            -
Macaca               	    84	     -	     -	               -	               -	               -	        0.860179	            -
Macropus             	    85	     -	     -	               -	               -	               -	        1.000000	            -
Macrotis             	    86	     -	     -	               -	               -	               -	        1.000000	            -
Manis pentadactyla   	    87	     -	     -	               -	               -	               -	        1.007213	            -
Manis tricuspis      	    88	     -	     -	               -	               -	               -	        0.885072	            -
Megaderma            	    89	     -	     -	               -	               -	               -	        1.202101	            -
Megaptera            	    90	     -	     -	               -	               -	               -	        0.688463	            -
Meles                	    91	     -	     -	               -	               -	               -	        1.172196	            -
Mephitis             	    92	     -	     -	               -	               -	               -	        1.235597	            -
Mesoplodon           	    93	     -	     -	               -	               -	               -	        1.036609	            -
Microcebus           	    94	     -	     -	               -	               -	               -	        1.233365	            -
Miniopterus          	    95	     -	     -	               -	               -	               -	        1.336812	            -
Monodelphis          	    96	     -	     -	               -	               -	               -	        1.000000	            -
Moschus              	    97	     -	     -	               -	               -	               -	        1.485884	            -
Mus                  	    98	     -	     -	               -	               -	               -	        3.721566	            -
Myocastor            	    99	     -	     -	               -	               -	               -	        4.171673	            -
Myotis               	   100	     -	     -	               -	               -	               -	        1.244400	            -
Myrmecobius          	   101	     -	     -	               -	               -	               -	        1.000000	            -
Myrmecophaga         	   102	     -	     -	               -	               -	               -	        1.126618	            -
Mystacina            	   103	     -	     -	               -	               -	               -	        1.213520	            -
Myzopoda             	   104	     -	     -	               -	               -	               -	        1.379533	            -
Nandinia             	   105	     -	     -	               -	               -	               -	        0.684545	            -
Natalus              	   106	     -	     -	               -	               -	               -	        0.812640	            -
Noctilio             	   107	     -	     -	               -	               -	               -	        1.505145	            -
