NodeLabel      	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Acanthoscu     	     1	     -	     -	               -	               -	               -	        1.196297	            -
Acropora m     	     2	     -	     -	               -	               -	               -	        0.762321	            -
Alvinella      	     3	     -	     -	               -	               -	               -	        1.027806	            -
Amphimedon     	     4	     -	     -	               -	               -	               -	        1.000000	            -
Anemonia v     	     5	     -	     -	               -	               -	               -	        0.817247	            -
Anoplodact     	     6	     -	     -	               -	               -	               -	        1.205165	            -
Aplysia ca     	     7	     -	     -	               -	               -	               -	        1.242964	            -
Brachionus     	     8	     -	     -	               -	               -	               -	        1.748724	            -
Branchiost     	     9	     -	     -	               -	               -	               -	        0.817072	            -
Caenorhabd     	    10	     -	     -	               -	               -	               -	        2.604146	            -
Capitella      	    11	     -	     -	               -	               -	               -	        1.207966	            -
Ciona inte     	    12	     -	     -	               -	               -	               -	        1.691470	            -
Crassostre     	    13	     -	     -	               -	               -	               -	        1.242121	            -
Danio reri     	    14	     -	     -	               -	               -	               -	        0.912030	            -
Daphnia pu     	    15	     -	     -	               -	               -	               -	        1.456145	            -
Eptatretus     	    16	     -	     -	               -	               -	               -	        1.767409	            -
Euperipato     	    17	     -	     -	               -	               -	               -	        0.927750	            -
Euprymna s     	    18	     -	     -	               -	               -	               -	        1.333682	            -
Flaccisagi     	    19	     -	     -	               -	               -	               -	        1.870121	            -
Gallus gal     	    20	     -	     -	               -	               -	               -	        1.043060	            -
Gryllus bi     	    21	     -	     -	               -	               -	               -	        1.171888	            -
Helobdella     	    22	     -	     -	               -	               -	               -	        1.429090	            -
Holothuria     	    23	     -	     -	               -	               -	               -	        1.425090	            -
Homo sapie     	    24	     -	     -	               -	               -	               -	        0.948270	            -
Hydra magn     	    25	     -	     -	               -	               -	               -	        1.303839	            -
Hydractini     	    26	     -	     -	               -	               -	               -	        1.154518	            -
Ixodes sca     	    27	     -	     -	               -	               -	               -	        1.473011	            -
Leucoraja      	    28	     -	     -	               -	               -	               -	        0.883177	            -
Litopenaeu     	    29	     -	     -	               -	               -	               -	        1.884010	            -
Lottia gig     	    30	     -	     -	               -	               -	               -	        1.640191	            -
Molgula te     	    31	     -	     -	               -	               -	               -	        1.791347	            -
