NodeLabel      	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Acanthoscu     	     1	     -	     -	               -	               -	               -	        1.455079	            -
Acropora m     	     2	     -	     -	               -	               -	               -	        0.813043	            -
Alvinella      	     3	     -	     -	               -	               -	               -	        1.229068	            -
Amphimedon     	     4	     -	     -	               -	               -	               -	        1.000000	            -
Anemonia v     	     5	     -	     -	               -	               -	               -	        1.004112	            -
Anoplodact     	     6	     -	     -	               -	               -	               -	        1.419952	            -
Aplysia ca     	     7	     -	     -	               -	               -	               -	        1.495493	            -
Brachionus     	     8	     -	     -	               -	               -	               -	        1.699848	            -
Branchiost     	     9	     -	     -	               -	               -	               -	        0.894571	            -
Caenorhabd     	    10	     -	     -	               -	               -	               -	        2.106425	            -
Capitella      	    11	     -	     -	               -	               -	               -	        1.466150	            -
Ciona inte     	    12	     -	     -	               -	               -	               -	        1.841988	            -
Crassostre     	    13	     -	     -	               -	               -	               -	        1.468297	            -
Danio reri     	    14	     -	     -	               -	               -	               -	        1.125401	            -
Daphnia pu     	    15	     -	     -	               -	               -	               -	        1.690655	            -
Eptatretus     	    16	     -	     -	               -	               -	               -	        2.033381	            -
Euperipato     	    17	     -	     -	               -	               -	               -	        1.122939	            -
Euprymna s     	    18	     -	     -	               -	               -	               -	        1.508255	            -
Flaccisagi     	    19	     -	     -	               -	               -	               -	        1.779058	            -
Gallus gal     	    20	     -	     -	               -	               -	               -	        1.433709	            -
Gryllus bi     	    21	     -	     -	               -	               -	               -	        1.653717	            -
Helobdella     	    22	     -	     -	               -	               -	               -	        1.627115	            -
Holothuria     	    23	     -	     -	               -	               -	               -	        1.777778	            -
Homo sapie     	    24	     -	     -	               -	               -	               -	        1.264919	            -
Hydra magn     	    25	     -	     -	               -	               -	               -	        1.310713	            -
Hydractini     	    26	     -	     -	               -	               -	               -	        1.226104	            -
Ixodes sca     	    27	     -	     -	               -	               -	               -	        1.677320	            -
Leucoraja      	    28	     -	     -	               -	               -	               -	        1.084706	            -
Litopenaeu     	    29	     -	     -	               -	               -	               -	        2.076133	            -
Lottia gig     	    30	     -	     -	               -	               -	               -	        1.923327	            -
Molgula te     	    31	     -	     -	               -	               -	               -	        1.838428	            -
Mus muscul     	    32	     -	     -	               -	               -	               -	        1.804202	            -
Mytilus ga     	    33	     -	     -	               -	               -	               -	        1.413083	            -
Nematostel     	    34	     -	     -	               -	               -	               -	        0.817524	            -
Onychiurus     	    35	     -	     -	               -	               -	               -	        2.480369	            -
Ornithorhy     	    36	     -	     -	               -	               -	               -	        2.425047	            -
Patiria pe     	    37	     -	     -	               -	               -	               -	        1.152511	            -
Petromyzon     	    38	     -	     -	               -	               -	               -	        1.038699	            -
Philodina      	    39	     -	     -	               -	               -	               -	        2.160764	            -
Pomatocero     	    40	     -	     -	               -	               -	               -	        1.773013	            -
Priapulus      	    41	     -	     -	               -	               -	               -	        1.232165	            -
Ptychodera     	    42	     -	     -	               -	               -	               -	        0.912037	            -
Rhodnius p     	    43	     -	     -	               -	               -	               -	        2.705313	            -
Saccogloss     	    44	     -	     -	               -	               -	               -	        1.052649	            -
Scutigera      	    45	     -	     -	               -	               -	               -	        0.886771	            -
Spadella c     	    46	     -	     -	               -	               -	               -	        1.414745	            -
Strongyloc     	    47	     -	     -	               -	               -	               -	        1.367909	            -
Suberites      	    48	     -	     -	               -	               -	               -	        1.000000	            -
Symsagitti     	    49	     -	     -	               -	               -	               -	        2.609616	            -
Tribolium      	    50	     -	     -	               -	               -	               -	        2.104730	            -
Trichoplax     	    51	     -	     -	               -	               -	               -	        0.823983	            -
Tubifex tu     	    52	     -	     -	               -	               -	               -	        1.304677	            -
Xenopus tr     	    53	     -	     -	               -	               -	               -	        1.229016	            -
Xenoturbel     	    54	     -	     -	               -	               -	               -	        1.316940	            -
-              	    55	    48	     4	        0.000000	               -	               -	        1.000000	        60.69%
-              	    56	    34	     5	        0.063778	        0.042620	        0.095438	        0.906028	        73.82%
-              	    57	    56	     2	        0.105735	        0.075797	        0.147500	        0.858277	        94.01%
-              	    58	    26	    25	        0.061447	        0.044127	        0.085566	        1.267703	        62.70%
-              	    59	    58	    57	        0.148173	        0.115232	        0.190532	        1.043092	        97.23%
-              	    60	    31	    12	        0.055971	        0.037710	        0.083076	        1.840207	        90.07%
-              	    61	    32	    24	        0.004984	        0.002472	        0.010046	        1.510685	        92.07%
-              	    62	    36	    61	        0.013152	        0.007297	        0.023703	        1.914023	        77.19%
-              	    63	    62	    20	        0.018811	        0.010860	        0.032582	        1.656548	        90.73%
-              	    64	    53	    63	        0.029029	        0.017498	        0.048158	        1.426858	        98.46%
-              	    65	    64	    14	        0.040914	        0.025868	        0.064712	        1.267197	        99.61%
-              	    66	    28	    65	        0.049433	        0.032352	        0.075531	        1.172406	        88.84%
-              	    67	    38	    16	        0.052616	        0.034753	        0.079660	        1.453297	        70.46%
-              	    68	    67	    66	        0.072106	        0.049152	        0.105779	        1.305318	        97.16%
-              	    69	    68	    60	        0.107668	        0.076982	        0.150586	        1.549856	        99.37%
-              	    70	    69	     9	        0.121127	        0.090794	        0.161593	        1.177479	        98.00%
-              	    71	    47	    23	        0.065019	        0.042965	        0.098394	        1.559436	        42.53%
-              	    72	    71	    37	        0.077651	        0.054555	        0.110524	        1.340622	        67.77%
-              	    73	    44	    42	        0.061028	        0.040226	        0.092589	        0.979824	        45.27%
-              	    74	    73	    72	        0.108861	        0.079083	        0.149851	        1.146112	        96.73%
