NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Acorus americanus                   	     1	     -	     -	               -	               -	               -	        7.142666	            -
Allamanda cathartica                	     2	     -	     -	               -	               -	               -	       15.013911	            -
Amborella trichopoda                	     3	     -	     -	               -	               -	               -	        2.675829	            -
Angiopteris evecta                  	     4	     -	     -	               -	               -	               -	        1.323135	            -
Anomodon attenuatus                 	     5	     -	     -	               -	               -	               -	        2.208555	            -
Aquilegia formosa                   	     6	     -	     -	               -	               -	               -	        9.081735	            -
Arabidopsis thaliana                	     7	     -	     -	               -	               -	               -	       26.017911	            -
Bazzania trilobata                  	     8	     -	     -	               -	               -	               -	        1.259074	            -
Boehmeria nivea                     	     9	     -	     -	               -	               -	               -	       14.556331	            -
Brachypodium distachyon             	    10	     -	     -	               -	               -	               -	       23.157879	            -
Bryum argenteum                     	    11	     -	     -	               -	               -	               -	        4.650104	            -
Carica papaya                       	    12	     -	     -	               -	               -	               -	       10.271801	            -
Catharanthus roseus                 	    13	     -	     -	               -	               -	               -	       16.922949	            -
Cedrus libani                       	    14	     -	     -	               -	               -	               -	        1.069087	            -
Ceratodon purpureus                 	    15	     -	     -	               -	               -	               -	        1.935917	            -
Chaetosphaeridium globosum          	    16	     -	     -	               -	               -	               -	        0.968537	            -
Chara vulgaris                      	    17	     -	     -	               -	               -	               -	        1.395589	            -
Chlorokybus atmophyticus            	    18	     -	     -	               -	               -	               -	        0.979817	            -
Colchicum autumnale                 	    19	     -	     -	               -	               -	               -	        7.439545	            -
Coleochaete irregularis             	    20	     -	     -	               -	               -	               -	        1.006881	            -
Coleochaete scutata                 	    21	     -	     -	               -	               -	               -	        1.136851	            -
Cunninghamia lanceolata             	    22	     -	     -	               -	               -	               -	        0.965253	            -
Alsophila spinulosa                 	    23	     -	     -	               -	               -	               -	        1.614798	            -
Cycas micholitzii                   	    24	     -	     -	               -	               -	               -	        1.018163	            -
Cycas rumphii                       	    25	     -	     -	               -	               -	               -	        1.413847	            -
Cylindrocystis brebissonii          	    26	     -	     -	               -	               -	               -	        1.088275	            -
Cylindrocystis cushleckae           	    27	     -	     -	               -	               -	               -	        0.737773	            -
Dendrolycopodium obscurum           	    28	     -	     -	               -	               -	               -	        0.866157	            -
