NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
Acorus americanus                   	     1	     -	     -	               -	               -	               -	        8.196847	            -
Allamanda cathartica                	     2	     -	     -	               -	               -	               -	       23.141345	            -
Amborella trichopoda                	     3	     -	     -	               -	               -	               -	        2.843223	            -
Angiopteris evecta                  	     4	     -	     -	               -	               -	               -	        1.850466	            -
Anomodon attenuatus                 	     5	     -	     -	               -	               -	               -	        3.490542	            -
Aquilegia formosa                   	     6	     -	     -	               -	               -	               -	       11.778520	            -
Arabidopsis thaliana                	     7	     -	     -	               -	               -	               -	       32.360734	            -
Bazzania trilobata                  	     8	     -	     -	               -	               -	               -	        1.789212	            -
Boehmeria nivea                     	     9	     -	     -	               -	               -	               -	       18.306225	            -
Brachypodium distachyon             	    10	     -	     -	               -	               -	               -	       26.211085	            -
Bryum argenteum                     	    11	     -	     -	               -	               -	               -	        6.553823	            -
Carica papaya                       	    12	     -	     -	               -	               -	               -	       14.647085	            -
Catharanthus roseus                 	    13	     -	     -	               -	               -	               -	       23.097682	            -
Cedrus libani                       	    14	     -	     -	               -	               -	               -	        1.598665	            -
Ceratodon purpureus                 	    15	     -	     -	               -	               -	               -	        2.488912	            -
Chaetosphaeridium globosum          	    16	     -	     -	               -	               -	               -	        1.095956	            -
Chara vulgaris                      	    17	     -	     -	               -	               -	               -	        1.294269	            -
Chlorokybus atmophyticus            	    18	     -	     -	               -	               -	               -	        0.970216	            -
Colchicum autumnale                 	    19	     -	     -	               -	               -	               -	        9.652997	            -
Coleochaete irregularis             	    20	     -	     -	               -	               -	               -	        1.187340	            -
Coleochaete scutata                 	    21	     -	     -	               -	               -	               -	        1.324961	            -
Cunninghamia lanceolata             	    22	     -	     -	               -	               -	               -	        1.460832	            -
Alsophila spinulosa                 	    23	     -	     -	               -	               -	               -	        2.310300	            -
Cycas micholitzii                   	    24	     -	     -	               -	               -	               -	        1.770244	            -
Cycas rumphii                       	    25	     -	     -	               -	               -	               -	        1.720195	            -
Cylindrocystis brebissonii          	    26	     -	     -	               -	               -	               -	        1.419457	            -
Cylindrocystis cushleckae           	    27	     -	     -	               -	               -	               -	        1.142575	            -
Dendrolycopodium obscurum           	    28	     -	     -	               -	               -	               -	        1.358453	            -
Dioscorea villosa                   	    29	     -	     -	               -	               -	               -	        9.980481	            -
Diospyros malabarica                	    30	     -	     -	               -	               -	               -	       13.865748	            -
Entransia fimbriata                 	    31	     -	     -	               -	               -	               -	        1.003411	            -
Ephedra sinica                      	    32	     -	     -	               -	               -	               -	        7.950318	            -
Equisetum diffusum                  	    33	     -	     -	               -	               -	               -	        2.369696	            -
Eschscholzia californica            	    34	     -	     -	               -	               -	               -	        9.324003	            -
Rosulabryum cf capillare            	    35	     -	     -	               -	               -	               -	        5.413984	            -
Ginkgo biloba                       	    36	     -	     -	               -	               -	               -	        1.754521	            -
Gnetum montanum                     	    37	     -	     -	               -	               -	               -	        6.262722	            -
Hedwigia ciliata                    	    38	     -	     -	               -	               -	               -	        3.538117	            -
Hibiscus cannabinus                 	    39	     -	     -	               -	               -	               -	       18.016554	            -
Uronema sp                          	    40	     -	     -	               -	               -	               -	        1.000000	            -
Houttuynia cordata                  	    41	     -	     -	               -	               -	               -	       10.893950	            -
Huperzia squarrosa                  	    42	     -	     -	               -	               -	               -	        1.750118	            -
Inula helenium                      	    43	     -	     -	               -	               -	               -	       18.802962	            -
Ipomoea purpurea                    	    44	     -	     -	               -	               -	               -	       23.105594	            -
Juniperus scopulorum                	    45	     -	     -	               -	               -	               -	        5.632261	            -
Kadsura heteroclita                 	    46	     -	     -	               -	               -	               -	        3.383059	            -
Klebsormidium subtile               	    47	     -	     -	               -	               -	               -	        0.901627	            -
Kochia scoparia                     	    48	     -	     -	               -	               -	               -	       19.076524	            -
Larrea tridentata                   	    49	     -	     -	               -	               -	               -	       18.957432	            -
Leucodon brachypus                  	    50	     -	     -	               -	               -	               -	        6.511885	            -
Liriodendron tulipifera             	    51	     -	     -	               -	               -	               -	        5.592249	            -
Marchantia emarginata               	    52	     -	     -	               -	               -	               -	        1.564619	            -
Marchantia polymorpha               	    53	     -	     -	               -	               -	               -	        2.682345	            -
Medicago truncatula                 	    54	     -	     -	               -	               -	               -	       31.465808	            -
Nothoceros vincentianus             	    55	     -	     -	               -	               -	               -	        2.434538	            -
Mesostigma viride                   	    56	     -	     -	               -	               -	               -	        0.704559	            -
Mesotaenium endlicherianum          	    57	     -	     -	               -	               -	               -	        0.962026	            -
Metzgeria crassipilis               	    58	     -	     -	               -	               -	               -	        2.176659	            -
Monomastix opisthostigma            	    59	     -	     -	               -	               -	               -	        1.000000	            -
Mougeotia sp                        	    60	     -	     -	               -	               -	               -	        1.950984	            -
Nephroselmis pyriformis             	    61	     -	     -	               -	               -	               -	        1.000000	            -
Netrium digitus                     	    62	     -	     -	               -	               -	               -	        1.391512	            -
Nothoceros aenigmaticus             	    63	     -	     -	               -	               -	               -	        1.334832	            -
Nuphar advena                       	    64	     -	     -	               -	               -	               -	        3.960907	            -
